i =  84, x =  1.0, lo =  0.5542212331627335, hi =  0.4457787668372665
i =  85, x =  1.0, lo =  0.6135103135674936, hi =  0.3864896864325064
i =  86, x =  1.0, lo =  0.6649138791906012, hi =  0.3350861208093988
i =  87, x =  1.0, lo =  0.7094807124207718, hi =  0.2905192875792282
i =  88, x =  1.0, lo =  0.7481201064022854, hi =  0.2518798935977146
i =  89, x =  1.0, lo =  0.7816204172623334, hi =  0.2183795827376666
i =  90, x =  1.0, lo =  0.8106651488711363, hi =  0.1893348511288637
i =  91, x =  1.0, lo =  0.8358468983107644, hi =  0.1641531016892356
i =  92, x =  1.0, lo =  0.8576794465808276, hi =  0.1423205534191724
i =  93, x =  1.0, lo =  0.8766082412266246, hi =  0.1233917587733754
i =  94, x =  1.0, lo =  0.8930194847658892, hi =  0.1069805152341108
i =  95, x =  1.0, lo =  0.9072480143444936, hi =  0.0927519856555064
i =  96, x =  1.0, lo =  0.9195841333890286, hi =  0.0804158666109714
i =  97, x =  1.0, lo =  0.9302795346418586, hi =  0.0697204653581414
i =  98, x =  1.0, lo =  0.9395524354258145, hi =  0.0604475645741855
i =  99, x =  1.0, lo =  0.9475920299128688, hi =  0.0524079700871312
i = 100, x =  1.0, lo =  0.9545623492360422, hi =  0.0454376507639578
i = 101, x =  1.0, lo =  0.9606056082020556, hi =  0.0393943917979444
i = 102, x =  1.0, lo =  0.9658451068874149, hi =  0.0341548931125851
i = 103, x =  1.0, lo =  0.9703877463189320, hi =  0.0296122536810680
i = 104, x =  1.0, lo =  0.9743262095658903, hi =  0.0256737904341097
i = 105, x =  1.0, lo =  0.9777408527444843, hi =  0.0222591472555157
i = 106, x =  1.0, lo =  0.9807013445165282, hi =  0.0192986554834718
i = 107, x =  1.0, lo =  0.9832680875329829, hi =  0.0167319124670171
i = 108, x =  1.0, lo =  0.9854934508238831, hi =  0.0145065491761169
i = 109, x =  1.0, lo =  0.9874228382790113, hi =  0.0125771617209887
i = 110, x =  1.0, lo =  0.9890956150194332, hi =  0.0109043849805668
i = 111, x = -1.0, lo =  0.8575447790230419, hi = -1.8575447790230419
i = 112, x = -1.0, lo =  0.6104892215313509, hi = -1.6104892215313509
i = 113, x = -1.0, lo =  0.3962923327386894, hi = -1.3962923327386894
i = 114, x = -1.0, lo =  0.2105838725272698, hi = -1.2105838725272697
i = 115, x = -1.0, lo =  0.0495748476600610, hi = -1.0495748476600610
i = 116, x = -1.0, lo = -0.0900197947120552, hi = -0.9099802052879448
i = 117, x = -1.0, lo = -0.2110481916921035, hi = -0.7889518083078966
i = 118, x = -1.0, lo = -0.3159796749256322, hi = -0.6840203250743677
i = 119, x = -1.0, lo = -0.4069551521551905, hi = -0.5930448478448095
i = 120, x = -1.0, lo = -0.4858307879710510, hi = -0.5141692120289489
i = 121, x = -1.0, lo = -0.5542158749726601, hi = -0.4457841250273399
i = 122, x = -1.0, lo = -0.6135056680227629, hi = -0.3864943319772371
i = 123, x = -1.0, lo = -0.6649098515085762, hi = -0.3350901484914238
i = 124, x = -1.0, lo = -0.7094772204250136, hi = -0.2905227795749864
i = 125, x = -1.0, lo = -0.7481170788459145, hi = -0.2518829211540855
i = 126, x = -1.0, lo = -0.7816177923743857, hi = -0.2183822076256143
i = 127, x = -1.0, lo = -0.8106628730962557, hi = -0.1893371269037443
i = 128, x = -1.0, lo = -0.8358449252165182, hi = -0.1641550747834818
i = 129, x = -1.0, lo = -0.8576777359103488, hi = -0.1423222640896512
i = 130, x = -1.0, lo = -0.8766067580772553, hi = -0.1233932419227447
i = 131, x = -1.0, lo = -0.8930181988770642, hi = -0.1069818011229358
i = 132, x = -1.0, lo = -0.9072468994803374, hi = -0.0927531005196626
i = 133, x = -1.0, lo = -0.9195831668030665, hi = -0.0804168331969335
i = 134, x = -1.0, lo = -0.9302786966129233, hi = -0.0697213033870767
i = 135, x = -1.0, lo = -0.9395517088556757, hi = -0.0604482911443243
